"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","latitude","longitude","point",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_h4ep_8xdi",":@computed_region_y6ts_4iup",":@computed_region_jg9y_a9du"
"2019-10-03T21:33:00.000","2019-10-03T00:00:00.000","21:33","2019","Thursday","2019-10-03T21:33:00.000","85420664020","854206","190744348","192764124","II","Initial",,"64020","Non-Criminal","Other","Mental Health Detention","Cite or Arrest Adult","06TH AVE \ IRVING ST","27084000","Park","Inner Sunset","5","37.76417782656134","-122.46310199573726","POINT (-122.46310199573726 37.76417782656134)","109","7","11","14",,,,,
"2019-10-03T13:30:00.000","2019-10-03T00:00:00.000","13:30","2019","Thursday","2019-10-03T14:10:00.000","85431106114","854311","190742994","192762343","II","Initial",,"06114","Larceny Theft","Larceny Theft - Pickpocket","Theft, Pickpocket, >$950","Open or Active","AL SCOMA WAY \ JEFFERSON ST","35066000","Central","North Beach","3","37.807978726080414","-122.417715898404","POINT (-122.417715898404 37.807978726080414)","99","6","3","23",,,,,
"2019-10-03T18:30:00.000","2019-10-03T00:00:00.000","18:30","2019","Thursday","2019-10-03T22:38:00.000","85451406244","854514","190744445","192764314","VS","Vehicle Supplement",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","GRANT AVE \ NORTH POINT ST","25476000","Central","North Beach","3","37.807163251424285","-122.40889733794425","POINT (-122.40889733794425 37.807163251424285)","99","6","3","23",,,,,
"2019-10-03T21:00:00.000","2019-10-03T00:00:00.000","21:00","2019","Thursday","2019-10-04T00:35:00.000","85421974000","854219","190744677","192770063","II","Initial",,"74000","Missing Person","Missing Adult","Missing Adult","Open or Active",,,"Southern",,,,,,,,,,,,,,
"2019-09-30T22:00:00.000","2019-09-30T00:00:00.000","22:00","2019","Monday","2019-10-04T13:51:00.000","85439307021","854393","190745829","192772107","VI","Vehicle Initial",,"07021","Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Auto","Open or Active","WHEAT ST \ PAUL AVE","20575000","Bayview","Bayview Hunters Point","10","37.72344678051801","-122.40007300242718","POINT (-122.40007300242718 37.72344678051801)","86","2","9","1",,,,,
"2019-10-04T12:00:00.000","2019-10-04T00:00:00.000","12:00","2019","Friday","2019-10-04T17:00:00.000","85450506243","854505","190746435","192772953","II","Initial",,"06243","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, $200-$950","Open or Active","THE EMBARCADERO \ GREEN ST","34014000","Central","Financial District/South Beach","3","37.80089647618971","-122.39913024364351","POINT (-122.39913024364351 37.80089647618971)","77","6","3","8",,,,,
"2019-10-04T15:36:00.000","2019-10-04T00:00:00.000","15:36","2019","Friday","2019-10-04T16:09:00.000","85443906373","854439","190746225","192772543","II","Initial",,"06373","Larceny Theft","Larceny Theft - Other","Theft, Other Property, $200-$950","Open or Active","CAYUGA AVE \ NIAGARA AVE","22082000","Ingleside","Outer Mission","11","37.717995409872366","-122.44470621149956","POINT (-122.44470621149956 37.717995409872366)","80","9","1","28",,,,,
"2019-10-01T22:30:00.000","2019-10-01T00:00:00.000","22:30","2019","Tuesday","2019-10-02T08:27:00.000","85425006244","854250","196208368",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","FILBERT ST \ SANSOME ST","30718000","Central","Financial District/South Beach","3","37.80216674861999","-122.40297367760449","POINT (-122.40297367760449 37.80216674861999)","77","6","3","8",,,,,
"2019-10-03T19:13:00.000","2019-10-03T00:00:00.000","19:13","2019","Thursday","2019-10-03T19:22:00.000","85416116710","854161","190744144","192763672","II","Initial",,"16710","Drug Offense","Drug Violation","Narcotics Paraphernalia, Possession of","Cite or Arrest Adult","02ND ST \ MARKET ST","30734000","Central","Financial District/South Beach","3","37.789264321511176","-122.4013754923669","POINT (-122.4013754923669 37.789264321511176)","108","6","3","8",,"35",,,
"2019-10-03T14:00:00.000","2019-10-03T00:00:00.000","14:00","2019","Thursday","2019-10-03T14:00:00.000","85403907041","854039","190736276","192762093","VS","Vehicle Supplement",,"07041","Recovered Vehicle","Recovered Vehicle","Vehicle, Recovered, Auto","Open or Active","BALBOA ST \ GREAT HWY","28009000","Richmond","Outer Richmond","1","37.77507596005672","-122.51129492624534","POINT (-122.51129492624534 37.77507596005672)","8","8","4","29",,,,,
"2019-10-02T17:30:00.000","2019-10-02T00:00:00.000","17:30","2019","Wednesday","2019-10-03T17:21:00.000","85428206372","854282","196208409",,"II","Coplogic Initial","true","06372","Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active",,,"Taraval",,,,,,,,,,,,,,
"2019-10-04T05:41:00.000","2019-10-04T00:00:00.000","05:41","2019","Friday","2019-10-04T05:41:00.000","85431626170","854316","190744871","192770421","II","Initial",,"26170","Other Miscellaneous","Other","Probation Violation","Cite or Arrest Adult","POLK ST \ OFARRELL ST","25179000","Northern","Tenderloin","6","37.784960258586636","-122.41954785498713","POINT (-122.41954785498713 37.784960258586636)","20","4","10","36",,,"1",,
"2019-10-03T16:02:00.000","2019-10-03T00:00:00.000","16:02","2019","Thursday","2019-10-03T16:22:00.000","85419663010","854196","190743516","192762803","II","Initial",,"63010","Warrant","Other","Warrant Arrest, Local SF Warrant","Cite or Arrest Adult","16TH ST \ JOSE SARRIA CT \ PROSPER ST","25798000","Mission","Castro/Upper Market","8","37.76432401133162","-122.43170028845323","POINT (-122.43170028845323 37.76432401133162)","38","3","5","5","5",,,,
"2019-10-03T18:30:00.000","2019-10-03T00:00:00.000","18:30","2019","Thursday","2019-10-03T22:38:00.000","85419209320","854192","190744445","192764314","II","Initial",,"09320","Fraud","Fraud","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","Open or Active","GRANT AVE \ NORTH POINT ST","25476000","Central","North Beach","3","37.807163251424285","-122.40889733794425","POINT (-122.40889733794425 37.807163251424285)","99","6","3","23",,,,,
"2019-10-03T21:15:00.000","2019-10-03T00:00:00.000","21:15","2019","Thursday","2019-10-03T21:15:00.000","85429606363","854296","190744423","192764062","II","Initial",,"06363","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Cite or Arrest Adult","POWELL ST \ OFARRELL ST","24904000","Central","Tenderloin","3","37.78640961281089","-122.40803623744476","POINT (-122.40803623744476 37.78640961281089)","19","6","3","36",,,"1",,
"2019-10-04T10:45:00.000","2019-10-04T00:00:00.000","10:45","2019","Friday","2019-10-04T10:47:00.000","85438706364","854387","190745374","192771356","II","Initial",,"06364","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, >$950","Cite or Arrest Adult","STOCKTON ST \ GEARY ST","24901000","Central","Financial District/South Beach","3","37.7875680237141","-122.40658988465438","POINT (-122.40658988465438 37.7875680237141)","19","6","3","8",,,,,
"2019-10-04T18:42:00.000","2019-10-04T00:00:00.000","18:42","2019","Friday","2019-10-04T18:48:00.000","85447028100","854470","190746770","192773491","II","Initial",,"28100","Malicious Mischief","Vandalism","Malicious Mischief, Breaking Windows","Cite or Arrest Adult","HYDE ST \ BUSH ST","25174000","Central","Nob Hill","3","37.789110174829865","-122.41701687926658","POINT (-122.41701687926658 37.789110174829865)","50","6","3","21",,,,,
"2019-10-04T00:04:00.000","2019-10-04T00:00:00.000","00:04","2019","Friday","2019-10-04T00:04:00.000","85421504021","854215","190708269","192770082","IS","Initial Supplement",,"04021","Assault","Aggravated Assault","Assault, Att. Homicide, W/ Gun","Cite or Arrest Adult","TURK ST \ MARKET ST \ MASON ST","24898000","Tenderloin","South of Market","6","37.78328785199654","-122.40895216005933","POINT (-122.40895216005933 37.78328785199654)","20","5","10","34",,"35","1",,
"2019-10-04T00:13:00.000","2019-10-04T00:00:00.000","00:13","2019","Friday","2019-10-04T00:13:00.000","85423304138","854233","190744683","192770031","II","Initial",,"04138","Assault","Simple Assault","Battery, former Spouse or Dating Relationship","Cite or Arrest Adult","GEARY ST \ LEAVENWORTH ST","25154000","Central","Tenderloin","6","37.78651981906591","-122.41480664938405","POINT (-122.41480664938405 37.78651981906591)","20","6","10","36",,,"1",,
"2019-09-29T10:00:00.000","2019-09-29T00:00:00.000","10:00","2019","Sunday","2019-10-04T11:13:00.000","85436171000","854361","190745421","192771457","II","Initial",,"71000","Lost Property","Lost Property","Lost Property","Open or Active","ANZA ST \ 06TH AVE","27275000","Richmond","Inner Richmond","1","37.779090726308574","-122.46414497098554","POINT (-122.46414497098554 37.779090726308574)","5","8","4","11",,,,,
"2019-10-03T18:43:00.000","2019-10-03T00:00:00.000","18:43","2019","Thursday","2019-10-04T09:01:00.000","85433668020","854336","190745205","192770985","II","Initial",,"68020","Miscellaneous Investigation","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","24TH AVE \ RIVERA ST","23268000","Taraval","Sunset/Parkside","4","37.746543332034335","-122.48131042513991","POINT (-122.48131042513991 37.746543332034335)","40","10","7","35",,,,,
"2019-09-28T18:00:00.000","2019-09-28T00:00:00.000","18:00","2019","Saturday","2019-10-04T16:02:00.000","85443074000","854430","190746140","192772668","II","Initial",,"74000","Missing Person","Missing Adult","Missing Adult","Open or Active","DE LONG ST \ SANTA CRUZ AVE","22513000","Taraval","Outer Mission","11","37.709445736234784","-122.46547874490786","POINT (-122.46547874490786 37.709445736234784)","66","10","1","28",,,,,
"2019-10-04T09:17:00.000","2019-10-04T00:00:00.000","09:17","2019","Friday","2019-10-04T09:18:00.000","85444364020","854443","190745192","192771049","II","Initial",,"64020","Non-Criminal","Other","Mental Health Detention","Open or Active","VISITACION AVE \ SCHWERIN ST","20372000","Ingleside","Visitacion Valley","10","37.71220622124655","-122.410640795949","POINT (-122.410640795949 37.71220622124655)","75","9","9","40",,,,,
"2019-10-02T22:00:00.000","2019-10-02T00:00:00.000","22:00","2019","Wednesday","2019-10-03T15:32:00.000","85424106244","854241","196208396",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","ORTEGA ST \ 25TH AVE","27383000","Taraval","Sunset/Parkside","4","37.752092893727","-122.48276958430827","POINT (-122.48276958430827 37.752092893727)","39","10","7","35",,,,,
